X.libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
ERX016335	9.87366753	0.224699	0.22836822114123	0.22047287718431	0.246721729489194	45.8341598889109	13863	30246	61.3010728144259	13428	21905	16.1613827525649	3497	21638	0.05	9544	Macaca mulatta
ERX016343	9.87366753	0.709312	0.728921639863085	0.72288201293801	0.967188849284022	42.4287509092111	12833	30246	56.7906870577494	12440	21905	11.7986874942231	2553	21638	0.05	9544	Macaca mulatta
ERX1403306	9.87366753	0.0990358	0.100190176252062	0.248508236767051	0.281731517903987	55.7263770415923	16855	30246	65.350376626341	14315	21905	18.1948424068768	3937	21638	0.05	9544	Macaca mulatta
ERX1403307	9.87366753	0.0717916	0.0724675489865343	0.208186164804703	0.23348407489116	54.4105005620578	16457	30246	64.8390778361105	14203	21905	18.157870413162	3929	21638	0.05	9544	Macaca mulatta
ERX1403308	9.87366753	0.137109	0.137795106223692	0.28976435030949	0.318248843326207	54.4501752297825	16469	30246	64.0036521342159	14020	21905	16.9054441260745	3658	21638	0.05	9544	Macaca mulatta
ERX1403309	9.87366753	0.158189	0.160080458317893	0.370665220174487	0.426639862631599	53.8054618792568	16274	30246	62.5108422734535	13693	21905	16.1382752564932	3492	21638	0.05	9544	Macaca mulatta
SRX080237	9.87366753	0.328304	0.333497003094186	0.365845526154001	0.413514248939336	31.9612510745223	9667	30246	43.1636612645515	9455	21905	13.0834642758111	2831	21638	0.05	9544	Macaca mulatta
SRX080238	9.87366753	0.420553	0.423632191115383	0.649032886192575	0.74179394550317	22.4723930437083	6797	30246	30.3309746633189	6644	21905	6.83519733801645	1479	21638	0.05	9544	Macaca mulatta
SRX080239	9.87366753	0.281275	0.283960453231737	0.347842153723314	0.380952280151408	32.8373999867751	9932	30246	44.4373430723579	9734	21905	12.0297624549404	2603	21638	0.05	9544	Macaca mulatta
SRX080240	9.87366753	0.23305	0.234378250701393	0.356077822850305	0.385943194339345	27.6201811809826	8354	30246	37.457201552157	8205	21905	9.23837692947592	1999	21638	0.05	9544	Macaca mulatta
SRX080241	9.87366753	0.436681	0.440635305774996	0.698627765760423	0.807511815217245	31.7496528466574	9603	30246	42.9445332115955	9407	21905	9.99168130141418	2162	21638	0.05	9544	Macaca mulatta
ERX221778	9.87366753	0.0500938	0.0505036359647989	0.051089357024592	0.0544340883442944	48.9585399722277	14808	30246	63.6703948870121	13947	21905	18.4906183565949	4001	21638	0.05	9544	Macaca mulatta
ERX221779	9.87366753	0.0452038	0.045570195600788	0.0465987589528938	0.04962779292155	49.6429279904781	15015	30246	64.108650992924	14043	21905	19.1422497458175	4142	21638	0.05	9544	Macaca mulatta
ERX221780	9.87366753	0.0417163	0.0420565822018295	0.0404016169068942	0.0426024327112921	49.7553395490313	15049	30246	63.7023510614015	13954	21905	18.8557167945281	4080	21638	0.05	9544	Macaca mulatta
ERX221781	9.87366753	0.0399446	0.040265762125345	0.0390575971828196	0.041166253312276	50.0033062223104	15124	30246	63.6293083770829	13938	21905	19.1561142434606	4145	21638	0.05	9544	Macaca mulatta
ERX221782	9.87366753	0.0520756	0.0525222169885039	0.0511486265937742	0.0543060300561896	50.3074786748661	15216	30246	64.9440766948185	14226	21905	19.1052777521028	4134	21638	0.05	9544	Macaca mulatta
ERX221783	9.87366753	0.0501626	0.0505894862995509	0.0493745440425638	0.052386393794687	50.6347946835945	15315	30246	64.8984250171194	14216	21905	19.1376282466032	4141	21638	0.05	9544	Macaca mulatta
ERX221784	9.87366753	0.0451931	0.0454915066942543	0.048952939115421	0.0514628276503803	48.3039079547709	14610	30246	62.6523624743209	13724	21905	19.0821702560311	4129	21638	0.05	9544	Macaca mulatta
ERX221785	9.87366753	0.0445103	0.0448050726417676	0.0481193513221405	0.0505626649908505	48.5650995172915	14689	30246	62.8486646884273	13767	21905	19.2393012293188	4163	21638	0.05	9544	Macaca mulatta
ERX221786	9.87366753	0.0451856	0.0455233297096389	0.0447179527759413	0.0470086399649856	48.8858030813992	14786	30246	63.4877881762155	13907	21905	19.0960347536741	4132	21638	0.05	9544	Macaca mulatta
ERX221787	9.87366753	0.042733	0.043043781115964	0.0431119343324804	0.0452847480768355	49.1271573100575	14859	30246	63.620178041543	13936	21905	19.2161937332471	4158	21638	0.05	9544	Macaca mulatta
SRX014842	9.87366753	0.558534	0.568146621102213	0.423665978424829	0.472845129284776	45.2258149837995	13679	30246	60.4473864414517	13241	21905	17.5616970145115	3800	21638	0.05	9544	Macaca mulatta
SRX014843	9.87366753	0.590548	0.600725937176153	0.446856302839267	0.499031541229308	44.8356807511737	13561	30246	60.0593471810089	13156	21905	17.0440891025049	3688	21638	0.05	9544	Macaca mulatta
SRX014844	9.87366753	0.64391	0.655366303783957	0.472664339338992	0.527911171647909	44.0521060636117	13324	30246	58.9134900707601	12905	21905	16.1937332470653	3504	21638	0.05	9544	Macaca mulatta
SRX014845	9.87366753	0.726333	0.739571136663616	0.529229370319995	0.593254386726536	42.7659855848707	12935	30246	57.4206802099977	12578	21905	15.2601904057676	3302	21638	0.05	9544	Macaca mulatta
SRX014846	9.87366753	0.708041	0.721253303547046	0.53582656751996	0.603901400802954	44.8588243073464	13568	30246	59.8128281214335	13102	21905	16.9609021166466	3670	21638	0.05	9544	Macaca mulatta
SRX014847	9.87366753	0.704978	0.718169325935027	0.5338871062745	0.601820768885915	44.7298816372413	13529	30246	59.7534809404246	13089	21905	17.099547093077	3700	21638	0.05	9544	Macaca mulatta
SRX014848	9.87366753	0.688555	0.702284604604385	0.481800155261788	0.543512467816518	44.3430536269259	13412	30246	59.2193563113444	12972	21905	16.9054441260745	3658	21638	0.05	9544	Macaca mulatta
SRX014849	9.87366753	0.678994	0.692422133339619	0.473906407051573	0.533518541532228	44.2901540699597	13396	30246	59.1600091303355	12959	21905	16.9008226268602	3657	21638	0.05	9544	Macaca mulatta
SRX014850	9.87366753	1.35252000187742	1.38142119635621	1.12424762048286	1.32414848999781	35.5848707267077	10763	30246	47.3544852773339	10373	21905	11.4520750531472	2478	21638	0.05	9544	Macaca mulatta
SRX014851	9.87366753	1.30728	1.334759956409	1.0908160527662	1.28306884444234	35.7898565099517	10825	30246	47.6512211823784	10438	21905	11.6923930122932	2530	21638	0.05	9544	Macaca mulatta
SRX014852	9.87366753	0.498506	0.505549634910606	0.413122636304446	0.457099225500891	44.7166567479997	13525	30246	59.621091075097	13060	21905	16.6004251779277	3592	21638	0.05	9544	Macaca mulatta
SRX014853	9.87366753	0.434534	0.440400275679003	0.362748874612603	0.398921681400252	44.5414269655492	13472	30246	59.6804382561059	13073	21905	17.2428135687217	3731	21638	0.05	9544	Macaca mulatta
SRX025579	9.87366753	0.96963	1.02138444915098	0.527503461289201	0.646599373692862	50.2578853402103	15201	30246	66.8842729970326	14651	21905	23.1490895646548	5009	21638	0.05	9544	Macaca mulatta
SRX102930	9.87366753	0.103134	0.103781468266182	0.187147634353736	0.203735259877942	55.008926800238	16638	30246	70.5683633873545	15458	21905	20.903040946483	4523	21638	0.05	9544	Macaca mulatta
SRX102935	9.87366753	0.128259	0.129219837978737	0.181150879105112	0.196208338299586	54.241883224228	16406	30246	69.1166400365213	15140	21905	20.2606525556891	4384	21638	0.05	9544	Macaca mulatta
SRX102962	9.87366753	0.110432	0.111234699512693	0.161623780853365	0.175074840591873	56.5661575084309	17109	30246	71.4494407669482	15651	21905	21.8458267862094	4727	21638	0.05	9544	Macaca mulatta
SRX102963	9.87366753	0.116917	0.1177611489006	0.16685624263812	0.180131626554547	55.2833432520003	16721	30246	70.1803241269117	15373	21905	21.8365837877808	4725	21638	0.05	9544	Macaca mulatta
SRX105923	9.87366753	4.48368	4.57670675246609	3.69910558056863	4.21746962222298	41.2219797659195	12468	30246	53.5494179411093	11730	21905	4.01146131805158	868	21638	0.05	9544	Macaca mulatta
SRX105924	9.87366753	4.97105	5.08155568642817	4.06313470719125	4.65374071103987	39.4200886067579	11923	30246	51.298790230541	11237	21905	3.78962935576301	820	21638	0.05	9544	Macaca mulatta
SRX106092	9.87366753	6.64025	6.83547550504769	4.80953302220554	5.63975190630313	39.7705481716591	12029	30246	51.3170509016206	11241	21905	3.91440983455033	847	21638	0.05	9544	Macaca mulatta
SRX106093	9.87366753	6.9319	7.13212820558758	5.08528410009118	5.97095478457067	37.5917476691133	11370	30246	48.4546907098836	10614	21905	3.68795637304742	798	21638	0.05	9544	Macaca mulatta
SRX251944	9.87366753	0.2613	0.266730765333008	0.215500916036908	0.245898541108814	60.5865238378629	18325	30246	76.3889522939968	16733	21905	24.4800813383862	5297	21638	0.05	9544	Macaca mulatta
SRX251945	9.87366753	0.276225	0.282395273593554	0.225176276263819	0.258119081666184	60.6228922832771	18336	30246	76.3433006162977	16723	21905	24.4292448470284	5286	21638	0.05	9544	Macaca mulatta
SRX251946	9.87366753	0.437669	0.450606362223888	0.315927577550936	0.371016444484755	60.6691793956226	18350	30246	75.0148367952522	16432	21905	25.0069322488215	5411	21638	0.05	9544	Macaca mulatta
SRX251947	9.87366753	0.420252	0.432415353104369	0.308341379507174	0.362420691893674	58.5366660054222	17705	30246	73.1157270029674	16016	21905	24.170440891025	5230	21638	0.05	9544	Macaca mulatta
SRX270655	9.87366753	0.255705	0.262608361600185	0.196802130325323	0.232733245040146	73.1964557296833	22139	30246	85.8479799132618	18805	21905	30.4972733154635	6599	21638	0.05	9544	Macaca mulatta
SRX270656	9.87366753	0.276712	0.284479607238682	0.200712991124136	0.236963569097399	73.2096806189248	22143	30246	85.7201552157042	18777	21905	30.7375912746095	6651	21638	0.05	9544	Macaca mulatta
SRX270657	9.87366753	0.31607	0.326225827988093	0.203141069267847	0.241653643625997	63.4596310255902	19194	30246	83.6612645514723	18326	21905	30.0397448932434	6500	21638	0.05	9544	Macaca mulatta
SRX270658	9.87366753	0.339175	0.350843553703997	0.206899905375059	0.247039766419019	63.8200092574225	19303	30246	84.1269116640037	18428	21905	30.6682687863943	6636	21638	0.05	9544	Macaca mulatta
SRX270659	9.87366753	0.315368	0.325068611691255	0.229228409798118	0.274652826612864	72.3368379289823	21879	30246	85.4508103172792	18718	21905	30.303170348461	6557	21638	0.05	9544	Macaca mulatta
SRX270660	9.87366753	0.273817	0.282528419733172	0.212007347858269	0.253474794833233	72.8625272763341	22038	30246	85.0445103857567	18629	21905	27.9369627507163	6045	21638	0.05	9544	Macaca mulatta
SRX270661	9.87366753	1.08801	1.1151052418979	0.800319749372121	1.00256851359917	55.6602525953845	16835	30246	73.5950696188085	16121	21905	22.991958591367	4975	21638	0.05	9544	Macaca mulatta
SRX270662	9.87366753	0.428233	0.44509246326219	0.245847738445041	0.29809439044605	62.4016398862659	18874	30246	82.5473636156129	18082	21905	29.5406229780941	6392	21638	0.05	9544	Macaca mulatta
SRX270663	9.87366753	0.33433	0.346966705093726	0.214169964849831	0.257276572634864	62.844673675858	19008	30246	83.2138781100205	18228	21905	27.678158794713	5989	21638	0.05	9544	Macaca mulatta
SRX270668	9.87366753	1.25889	1.29090438336983	0.906298914337874	1.15800987486062	54.506381009059	16486	30246	72.2529102944533	15827	21905	19.6922081523246	4261	21638	0.05	9544	Macaca mulatta
SRX329430	9.87366753	0.130057	0.132023591409929	0.0969831035301394	0.106441591766792	51.7390729352642	15649	30246	69.1485962109108	15147	21905	23.0751455772252	4993	21638	0.05	9544	Macaca mulatta
SRX329431	9.87366753	0.0672742	0.0679172852529952	0.0617298064836956	0.0665457790310649	50.1091053362428	15156	30246	66.8705774937229	14648	21905	22.1046307422128	4783	21638	0.05	9544	Macaca mulatta
SRX329432	9.87366753	0.0638001	0.0643672000676709	0.0611642271826147	0.0667185530872953	51.950671163129	15713	30246	69.3083770828578	15182	21905	23.1814400591552	5016	21638	0.05	9544	Macaca mulatta
SRX329433	9.87366753	0.0739203	0.0746120593723417	0.0673434743971617	0.0728438101828272	49.9338755537922	15103	30246	67.0212280301301	14681	21905	21.8042332932803	4718	21638	0.05	9544	Macaca mulatta
SRX329434	9.87366753	0.0681324	0.0688365826725731	0.0604864131792164	0.0653173015375462	52.274680949547	15811	30246	69.8516320474777	15301	21905	23.0520380811535	4988	21638	0.05	9544	Macaca mulatta
SRX329436	9.87366753	0.237942	0.242189482094032	0.216813082377772	0.249152573231067	54.5725054552668	16506	30246	72.2300844556037	15822	21905	24.3553008595989	5270	21638	0.05	9544	Macaca mulatta
SRX329437	9.87366753	0.229344171299	0.23320917774709	0.211256431731616	0.242034465090973	53.5872512067711	16208	30246	71.1435745263638	15584	21905	23.9116369350217	5174	21638	0.05	9544	Macaca mulatta
SRX329435	9.87366753	0.0876121	0.0885621605465547	0.0780064393070583	0.085010028054595	51.7456853798849	15651	30246	69.1714220497603	15152	21905	23.11211757094	5001	21638	0.05	9544	Macaca mulatta
SRX329438	9.87366753	0.220221	0.22382950185108	0.213651738102234	0.246312279148313	53.415327646631	16156	30246	70.8148824469299	15512	21905	24.0040669193086	5194	21638	0.05	9544	Macaca mulatta
SRX329439	9.87366753	0.187157001	0.190124118501823	0.183111440424135	0.209936589849487	54.4237254512993	16461	30246	72.2209541200639	15820	21905	24.6279693132452	5329	21638	0.05	9544	Macaca mulatta
SRX329440	9.87366753	0.223222	0.226884239709456	0.205850885486841	0.23561767189354	53.1871983072142	16087	30246	70.705318420452	15488	21905	23.8515574452352	5161	21638	0.05	9544	Macaca mulatta
SRX329441	9.87366753	0.2328936	0.236935794406656	0.216769901027255	0.25032193993045	54.4766250082656	16477	30246	72.1433462679753	15803	21905	24.2258988815972	5242	21638	0.05	9544	Macaca mulatta
SRX329442	9.87366753	0.342253	0.351339710487592	0.246086205509733	0.290239166504145	54.4865436751967	16480	30246	72.376169824241	15854	21905	24.5678898234587	5316	21638	0.05	9544	Macaca mulatta
SRX329443	9.87366753	0.301431	0.309270942768317	0.221752707536468	0.260456302890512	54.6551610130265	16531	30246	72.6729057292856	15919	21905	24.798964784176	5366	21638	0.05	9544	Macaca mulatta
SRX329444	9.87366753	0.34894	0.358465839508458	0.238988543661313	0.281249159779728	54.9923956886861	16633	30246	73.2663775393746	16049	21905	24.2027913855255	5237	21638	0.05	9544	Macaca mulatta
SRX329445	9.87366753	0.358314	0.368916608289657	0.247205019089498	0.293818585251234	54.0567347748463	16350	30246	71.9379137183292	15758	21905	24.5817543211018	5319	21638	0.05	9544	Macaca mulatta
SRX329446	9.87366753	0.351697	0.361879081449373	0.255501712608363	0.304162849653021	54.3774383389539	16447	30246	72.2574754622232	15828	21905	24.8035862833903	5367	21638	0.05	9544	Macaca mulatta
SRX329447	9.87366753	0.328279	0.336687974654222	0.317163536338811	0.392153699456902	49.8908946637572	15090	30246	66.541885414289	14576	21905	23.0150660874388	4980	21638	0.05	9544	Macaca mulatta
SRX329448	9.87366753	0.363053	0.373350276357122	0.26140498781644	0.312107588510274	53.8682801031541	16293	30246	71.4859621091075	15659	21905	24.785100286533	5363	21638	0.05	9544	Macaca mulatta
SRX329449	9.87366753	0.380203	0.391046804628223	0.260604213073183	0.309844755966276	53.2566289757323	16108	30246	70.9609678155672	15544	21905	24.5540253258157	5313	21638	0.05	9544	Macaca mulatta
SRX329450	9.87366753	0.430879	0.444321403636421	0.287803085220888	0.34635698597079	53.7922369900152	16270	30246	71.3124857338507	15621	21905	24.3553008595989	5270	21638	0.05	9544	Macaca mulatta
SRX329451	9.87366753	0.381368	0.392288542484097	0.268182206538699	0.320000438638799	53.0417245255571	16043	30246	70.6140150650536	15468	21905	24.4153803493853	5283	21638	0.05	9544	Macaca mulatta
SRX329452	9.87366753	0.375879	0.38787411472863	0.249423525808817	0.297927344986469	54.2022085565033	16394	30246	71.9744350604885	15766	21905	24.8266937794621	5372	21638	0.05	9544	Macaca mulatta
SRX329453	9.87366753	0.346747	0.356166305943477	0.256161429633716	0.306200512698244	54.6452423460953	16528	30246	72.4035608308605	15860	21905	25.0716332378224	5425	21638	0.05	9544	Macaca mulatta
SRX329454	9.87366753	0.456257	0.471071572228895	0.342324779184154	0.418512280338955	52.4730542881703	15871	30246	69.4088107737959	15204	21905	24.6187263148165	5327	21638	0.05	9544	Macaca mulatta
SRX329455	9.87366753	0.550113	0.569541361635252	0.357757097930307	0.434569170713245	52.7507769622429	15955	30246	70.0388039260443	15342	21905	24.0964969035955	5214	21638	0.05	9544	Macaca mulatta
SRX329456	9.87366753	0.510483	0.528435584916937	0.323677859149016	0.392858815116804	52.2515373933743	15804	30246	69.2216388952294	15163	21905	24.2166558831685	5240	21638	0.05	9544	Macaca mulatta
SRX329457	9.87366753	0.478121	0.494084592519501	0.318413230326378	0.384962057976184	52.7606956291741	15958	30246	69.9064140607167	15313	21905	24.6603198077456	5336	21638	0.05	9544	Macaca mulatta
SRX329458	9.87366753	0.573313	0.594981740609692	0.350440660246124	0.427104678586897	52.3143556172717	15823	30246	69.2490299018489	15169	21905	24.1750623902394	5231	21638	0.05	9544	Macaca mulatta
SRX329459	9.87366753	0.443055	0.457262193329841	0.318453906414521	0.387191506125211	52.615221847517	15914	30246	69.7420680209998	15277	21905	24.66494130696	5337	21638	0.05	9544	Macaca mulatta
SRX978175	9.87366753	0.112345	0.115817744308167	0.140134345386509	0.167818696512291	54.846921907029	16589	30246	72.9011641177813	15969	21905	23.7729919585914	5144	21638	0.05	9544	Macaca mulatta
SRX978176	9.87366753	0.1833085	0.188202468735536	0.121170629253779	0.139967233870856	55.2833432520003	16721	30246	73.6544167998174	16134	21905	23.3894075238007	5061	21638	0.05	9544	Macaca mulatta
SRX978177	9.87366753	0.193333	0.198405829598182	0.127278456824037	0.145693579497804	54.7973285723732	16574	30246	73.1248573385072	16018	21905	22.2756262131435	4820	21638	0.05	9544	Macaca mulatta
SRX1038925	9.87366753	0.265608	0.267807961615075	0.462638042443698	0.51476950885304	61.3304238577002	18550	30246	72.8235562656928	15952	21905	17.0209816064331	3683	21638	0.05	9544	Macaca mulatta
SRX1038924	9.87366753	0.137104	0.13821971401713	0.176451356922468	0.190840040890851	54.3212325596773	16430	30246	66.1994978315453	14501	21905	18.278029392735	3955	21638	0.05	9544	Macaca mulatta
SRX1038923	9.87366753	0.0456751	0.0458625628743644	0.0901068621640795	0.095876845774833	60.9931891820406	18448	30246	74.5583200182607	16332	21905	24.3784083556706	5275	21638	0.05	9544	Macaca mulatta
SRX1038922	9.87366753	0.117217	0.118604072588883	0.239569692115538	0.283081462508053	61.8032136480857	18693	30246	73.5174617667199	16104	21905	24.8174507810334	5370	21638	0.05	9544	Macaca mulatta
SRX1383017	9.87366753	0.212244	0.217964977226339	0.149172237826324	0.170915867788515	55.187462804999	16692	30246	73.7594156585255	16157	21905	23.9532304279508	5183	21638	0.05	9544	Macaca mulatta
SRX1383018	9.87366753	0.271205	0.278169548410428	0.164016502796826	0.185836495509598	54.7642663492693	16564	30246	73.2892033782242	16054	21905	22.9318791015806	4962	21638	0.05	9544	Macaca mulatta
SRX1383019	9.87366753	0.250943	0.257042446129449	0.152148936267598	0.17175117623697	54.3906632281955	16451	30246	72.6409495548961	15912	21905	22.6730751455772	4906	21638	0.05	9544	Macaca mulatta
SRX1383020	9.87366753	0.235411	0.241214087536644	0.145669398829068	0.16512949827377	53.8054618792568	16274	30246	71.9607395571787	15763	21905	22.8533136149367	4945	21638	0.05	9544	Macaca mulatta
